Point X,Point Z,Point Y,Index,Name,Connection_Indices,Area_in_voxels,Sun_access,Sky_view,Reduce_noise_factors ,Ground_floor_preferences,Subterranean_preferences,Closeness_railway
0,0,0,0,Parking_Spaces,"1,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0",4534,0,0,0,0.5,0.5,0
0,0,0,1,Bike_spaces,"0,1,0,0,0,0,0.8,0,0.4,0,0,0,0,0,0.6,0.6",379,0,0,0,1,0,0
0,0,0,2,Restaurant,"0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.3,0.6",63,0.5,0.5,0.2,1,0,0
0,0,0,3,Gym,"0,0,0,1,0.7,0.5,0,0,0.5,0.5,0,0,0,0,0,0",63,0.3,0.3,0,0.3,0,0.8
0,0,0,4,Care_center,"0,0,0,0.7,1,0,0,0,0.5,0.3,0,0,0,0.6,0,0",378,1,1,1,0,0,0
0,0,0,7,Laundromat,"0,0,0,0,0,0,0,1,0.7,0,0.2,0.3,0.3,0,0,0",45,0,0,0,0.3,0,0.8
0,0,0,10,Starter_units,"0,0,0,0,0,0,0,0.2,0.2,0.8,1,0,0,0,0,0",7600,0.6,0.8,1,0,0,0
0,0,0,11,Student_studio,"0,0,0,0,0,0,0,0.3,0.2,0.8,0,1,0,0,0,0",1200,0.6,0.8,1,0,0,0
0,0,0,12,Shared_student_housing,"0,0,0,0,0,0,0,0.3,0.2,0.8,0,0,1,0,0,0",1344,0.6,0.8,1,0,0,0
0,0,0,13,Elderly_housing,"0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,1,0,0.3",6500,1,1,1,0,0,0
